Country, Name, Start, End, Full Name, Web reference
France, Charles de Gaulle, 1959-01-08,1969-04-28, President Charles de Gaulle, http://www.worldpresidentsdb.com/Charles-de-Gaulle/
France, Georges Pompidou, 1969-06-20,1974-04-02, President Georges Pompidou, http://www.worldpresidentsdb.com/Georges-Pompidou/
France, Valery Giscard d Estaing, 1974-05-27,1981-05-21, President Valery Giscard d Estaing, http://www.worldpresidentsdb.com/Valery-Giscard-d-Estaing/
France, Francois Mitterrand, 1981-05-21,1988-05-08, President Francois Mitterrand, http://www.worldpresidentsdb.com/Francois-Mitterrand/
France, Francois Mitterrand, 1988-05-08,1995-05-17, President Francois Mitterrand, http://www.worldpresidentsdb.com/Francois-Mitterrand/
France, Jacques Chirac, 1995-05-17,2002-05-17, President Jacques Chirac, http://www.worldpresidentsdb.com/Jacques-Chirac/
France, Jacques Chirac, 2002-05-17,2007-05-16, President Jacques Chirac, http://www.worldpresidentsdb.com/Jacques-Chirac/
France, Nicolas Sarkozy, 2007-05-16,2012-05-15, President Nicolas Sarkozy, http://www.worldpresidentsdb.com/Nicolas-Sarkozy/
France, Francois Hollande, 2012-05-15,2017-05-14, President Francois Hollande, http://www.worldpresidentsdb.com/Francois-Hollande/
France, Emmanuel Macron, 2017-05-14,Acting, President Emmanuel Macron, http://www.worldpresidentsdb.com/Francois-Hollande/
Slovakia, Michal Kovac, 1993-03-02,1998-03-02, President Michal Kovac, http://www.worldpresidentsdb.com/Michal-Kovac/
Slovakia, Rudolf Schuster, 1999-06-15,2004-06-15, President Rudolf Schuster, http://www.worldpresidentsdb.com/Rudolf-Schuster/
Slovakia, Ivan Gasparovic, 2004-06-15,2014-06-15, President Ivan Gasparovic, http://www.worldpresidentsdb.com/Ivan-Gasparovic/
Slovakia, Ivan Gasparovic, 1998-07-14,1998-10-30, President Ivan Gasparovic, http://www.worldpresidentsdb.com/Ivan-Gasparovic/
Slovakia, Andrej Kiska, 2014-06-15,Acting, President Andrej Kiska, http://www.worldpresidentsdb.com/Andrej-Kiska/
Ireland, Douglas Hyde, 1938-06-25,1945-06-24, President Douglas Hyde, http://www.worldpresidentsdb.com/Douglas-Hyde/
Ireland, Sean O Kelly, 1945-06-25,1959-06-24, President Sean O Kelly, http://www.worldpresidentsdb.com/Sean-O-Kelly/
Ireland, Eamon de Valera, 1959-06-25,1973-06-24, President Eamon de Valera, http://www.worldpresidentsdb.com/Eamon-de-Valera/
Ireland, Erskine Hamilton Childers, 1973-06-25,1974-11-17, President Erskine Hamilton Childers, http://www.worldpresidentsdb.com/Erskine-Hamilton-Childers/
Ireland, Cearbhall O Dalaigh, 1974-12-19,1976-10-22, President Cearbhall O Dalaigh, http://www.worldpresidentsdb.com/Cearbhall-O-Dalaigh/
Ireland, Patrick Hillery, 1976-12-03,1990-12-02, President Patrick Hillery, http://www.worldpresidentsdb.com/Patrick-Hillery/
Ireland, Mary Robinson, 1990-12-03,1997-09-12, President Mary Robinson, http://www.worldpresidentsdb.com/Mary-Robinson/
Ireland, Mary McAleese, 1997-11-11,2004-11-11, President Mary McAleese, http://www.worldpresidentsdb.com/Mary-McAleese/
Ireland, Mary McAleese, 2004-01-11,2011-11-10, President Mary McAleese, http://www.worldpresidentsdb.com/Mary-McAleese/
Ireland, Michael Higgins, 2011-11-11,Acting, President Michael Higgins, http://www.worldpresidentsdb.com/Michael-Higgins/
Palestine, Yasser Arafat, 1994-07-05,2004-11-11, President Yasser Arafat, http://www.worldpresidentsdb.com/Yasser-Arafat/
Palestine, Mahmoud Abbas, 2005-01-15,Acting, President Mahmoud Abbas, http://www.worldpresidentsdb.com/Mahmoud-Abbas/
Argentina, Raul Alfonsin, 1983-12-10,1989-07-08, President Raul Alfonsin, http://www.worldpresidentsdb.com/Raul-Alfonsin/
Argentina, Reynaldo Bignone, 1982-07-01,1983-12-10, Dictator Reynaldo Bignone, http://www.worldpresidentsdb.com/Reynaldo-Bignone/
Argentina, Fernando de la Rua, 1999-12-10,2001-12-21, President Fernando de la Rua, http://www.worldpresidentsdb.com/Fernando-de-la-Rua/
Argentina, Eduardo Duhalde, 2002-01-02,2003-05-25, President Eduardo Duhalde, http://www.worldpresidentsdb.com/Eduardo-Duhalde/
Argentina, Cristina Fernandez de Kirchner, 2007-12-10,2011-12-10, President Cristina Fernandez de Kirchner, http://www.worldpresidentsdb.com/Cristina-Fernandez-de-Kirchner/
Argentina, Cristina Fernandez de Kirchner, 2011-12-10,2015-12-10, President Cristina Fernandez de Kirchner, http://www.worldpresidentsdb.com/Cristina-Fernandez-de-Kirchner/
Argentina, Mauricio Macri, 2015-12-10,Acting, President Mauricio Macri, http://www.worldpresidentsdb.com/xxx/
Argentina, Leopoldo Galtieri, 1981-12-22,1982-06-18, Dictator Leopoldo Galtieri, http://www.worldpresidentsdb.com/Leopoldo-Galtieri/
Argentina, Nestor Kirchner, 2003-05-25,2007-12-10, President Nestor Kirchner, http://www.worldpresidentsdb.com/Nestor-Kirchner/
Argentina, Carlos Menem, 1989-07-08,1995-12-10, President Carlos Menem, http://www.worldpresidentsdb.com/Carlos-Menem/
Argentina, Carlos Menem, 1995-12-10,1999-12-10, President Carlos Menem, http://www.worldpresidentsdb.com/Carlos-Menem/
Argentina, Peron, 1946-06-04,1952-06-04, President Peron, http://www.worldpresidentsdb.com/Peron/
Argentina, Isabel Peron, 1974-07-01,1976-03-24, President Isabel Peron, http://www.worldpresidentsdb.com/Isabel-Peron/
Argentina, Bernardino Rivadavia, 1826-02-08,1827-07-07, President Bernardino Rivadavia, http://www.worldpresidentsdb.com/Bernardino-Rivadavia/
Argentina, Jorge Rafael Videla, 1976-03-24,1981-03-29, Dictator Jorge Rafael Videla, http://www.worldpresidentsdb.com/Jorge-Rafael-Videla/
Bolivia, Carlos Mesa, 2003-10-17,2005-06-06, President Carlos Mesa, http://www.worldpresidentsdb.com/Carlos-Mesa/
Bolivia, Evo Morales, 2006-01-22,Acting, President Evo Morales, http://www.worldpresidentsdb.com/Evo-Morales/
Bolivia, Eduardo Rodriguez, 2005-06-09,2006-01-22, President Eduardo Rodriguez, http://www.worldpresidentsdb.com/Eduardo-Rodriguez/
Norway, Thorbjorn Jagland, 1996-10-25,1997-10-17, Prime Minister Thorbjorn Jagland, http://www.worldpresidentsdb.com/Thorbjorn-Jagland/
Norway, Kjell Magne Bondevik, 2001-10-19,2005-10-17, Prime Minister Kjell Magne Bondevik, http://www.worldpresidentsdb.com/Kjell-Magne-Bondevik/
Norway, Jens Stoltenberg, 2005-10-17,2013-10-16, Prime Minister Jens Stoltenberg, http://www.worldpresidentsdb.com/Jens-Stoltenberg/
Norway, Jens Stoltenberg, 2000-03-03,2001-10-19, Prime Minister Jens Stoltenberg, http://www.worldpresidentsdb.com/Jens-Stoltenberg/
Norway, Erna Solberg, 2013-10-16,Acting, Prime Minister Erna Solberg, http://www.worldpresidentsdb.com/Erna-Solberg/
Ecuador, Rafael Correa, 2007-01-15,Acting, President Rafael Correa, http://www.worldpresidentsdb.com/Rafael-Correa/
Ecuador, Leon Febres Cordero, 1984-08-10,1988-08-10, President Leon Febres Cordero, http://www.worldpresidentsdb.com/Leon-Febres-Cordero/
Ecuador, Alfredo Palacio, 2005-04-20,2007-01-15, President Alfredo Palacio, http://www.worldpresidentsdb.com/Alfredo-Palacio/
Czech Republic, Vaclav Havel, 1993-02-02,2003-02-02, President Vaclav Havel, http://www.worldpresidentsdb.com/Vaclav-Havel/
Czech Republic, Vaclav Klaus, 2003-03-07,2013-03-07, President Vaclav Klaus, http://www.worldpresidentsdb.com/Vaclav-Klaus/
Czech Republic, Milos Zeman, 2013-03-08,Acting, President Milos Zeman, http://www.worldpresidentsdb.com/Milos-Zeman/
Ghana, John Kufuor, 2001-01-07,2009-01-07, President John Kufuor, http://www.worldpresidentsdb.com/John-Kufuor/
Ghana, John Dramani Mahama, 2012-07-24,Acting, President John Dramani Mahama, http://www.worldpresidentsdb.com/John-Dramani-Mahama/
Ghana, John Atta Mills, 2009-01-07,2012-07-24, President John Atta Mills, http://www.worldpresidentsdb.com/John-Atta-Mills/
Saudi Arabia, Khalid of Saudi Arabia, 1975-03-25,1982-06-13, King Khalid of Saudi Arabia, http://www.worldpresidentsdb.com/Khalid-of-Saudi-Arabia/
Saudi Arabia, Fahd of Saudi Arabia, 1982-06-13,2005-08-01, King Fahd of Saudi Arabia, http://www.worldpresidentsdb.com/Fahd-of-Saudi-Arabia/
Saudi Arabia, Abdullah of Saudi Arabia, 2005-08-01,2015-01-23, King Abdullah of Saudi Arabia, http://www.worldpresidentsdb.com/Abdullah-of-Saudi-Arabia/
Saudi Arabia, King Salman of Saudi Arabia, 2015-01-23,Acting, King Salman of Saudi Arabia, http://www.worldpresidentsdb.com/Abdullah-of-Saudi-Arabia/
Australia, Edmund Barton, 1901-01-01,1903-09-24, Prime Minister Edmund Barton, http://www.worldpresidentsdb.com/Edmund-Barton/
Australia, Alfred Deakin, 1903-09-24,1904-04-27, Prime Minister Alfred Deakin, http://www.worldpresidentsdb.com/Alfred-Deakin/
Australia, Alfred Deakin, 1905-07-05,1908-11-13, Prime Minister Alfred Deakin, http://www.worldpresidentsdb.com/Alfred-Deakin/
Australia, Alfred Deakin, 1909-06-02,1910-04-29, Prime Minister Alfred Deakin, http://www.worldpresidentsdb.com/Alfred-Deakin/
Australia, Chris Watson, 1904-04-27,1904-08-18, Prime Minister Chris Watson, http://www.worldpresidentsdb.com/Chris-Watson/
Australia, George Reid, 1904-08-18,1905-07-05, Prime Minister George Reid, http://www.worldpresidentsdb.com/George-Reid/
Australia, Andrew Fisher, 1908-11-13,1909-06-02, Prime Minister Andrew Fisher, http://www.worldpresidentsdb.com/Andrew-Fisher/
Australia, Andrew Fisher, 1910-04-29,1913-06-24, Prime Minister Andrew Fisher, http://www.worldpresidentsdb.com/Andrew-Fisher/
Australia, Andrew Fisher, 1914-09-17,1915-10-27, Prime Minister Andrew Fisher, http://www.worldpresidentsdb.com/Andrew-Fisher/
Australia, Joseph Cook, 1913-06-24,1914-09-17, Prime Minister Joseph Cook, http://www.worldpresidentsdb.com/Joseph-Cook/
Australia, Billy Hughes, 1915-10-27,1923-02-09, Prime Minister Billy Hughes, http://www.worldpresidentsdb.com/Billy-Hughes/
Australia, Stanley Bruce, 1923-02-09,1929-10-22, Prime Minister Stanley Bruce, http://www.worldpresidentsdb.com/Stanley-Bruce/
Australia, James Scullin, 1929-10-22,1932-01-06, Prime Minister James Scullin, http://www.worldpresidentsdb.com/James-Scullin/
Australia, Joseph Lyons, 1932-01-06,1939-04-07, Prime Minister Joseph Lyons, http://www.worldpresidentsdb.com/Joseph-Lyons/
Australia, Earle Page, 1039-04-07,1939-04-26, Prime Minister Earle Page, http://www.worldpresidentsdb.com/Earle-Page/
Australia, Robert Menzies, 1939-04-26,1941-08-26, Prime Minister Robert Menzies, http://www.worldpresidentsdb.com/Robert-Menzies/
Australia, Robert Menzies, 1949-12-19,1966-01-26, Prime Minister Robert Menzies, http://www.worldpresidentsdb.com/Robert-Menzies/
Australia, Arthur Fadden, 1941-08-29,1931-10-07, Prime Minister Arthur Fadden, http://www.worldpresidentsdb.com/Arthur-Fadden/
Australia, John Curtin, 1941-10-07,1945-07-05, Prime Minister John Curtin, http://www.worldpresidentsdb.com/John-Curtin/
Australia, Frank Forde, 1945-07-06,1945-07-12, Prime Minister Frank Forde, http://www.worldpresidentsdb.com/Frank-Forde/
Australia, Ben Chifley, 1945-07-13,1949-12-19, Prime Minister Ben Chifley, http://www.worldpresidentsdb.com/Ben-Chifley/
Australia, Harold Holt, 1966-01-26,1967-12-17, Prime Minister Harold Holt, http://www.worldpresidentsdb.com/Harold-Holt/
Australia, John McEwen, 1967-12-19,1968-01-10, Prime Minister John McEwen, http://www.worldpresidentsdb.com/John-McEwen/
Australia, John Gorton, 1968-01-10,1971-03-10, Prime Minister John Gorton, http://www.worldpresidentsdb.com/John-Gorton/
Australia, William McMahon, 1971-03-10,1972-12-05, Prime Minister William McMahon, http://www.worldpresidentsdb.com/William-McMahon/
Australia, Gough Whitlam, 1972-12-05,1975-11-11, Prime Minister Gough Whitlam, http://www.worldpresidentsdb.com/Gough-Whitlam/
Australia, Malcolm Fraser, 1975-11-11,1983-03-11, Prime Minister Malcolm Fraser, http://www.worldpresidentsdb.com/Malcolm-Fraser/
Australia, Robert Hawke, 1983-03-11,1991-12-20, Prime Minister Robert Hawke, http://www.worldpresidentsdb.com/Robert-Hawke/
Australia, Paul Keating, 1991-12-20,1996-03-11, Prime Minister Paul Keating, http://www.worldpresidentsdb.com/Paul-Keating/
Australia, John Howard, 1996-03-11,2007-12-03, Prime Minister John Howard, http://www.worldpresidentsdb.com/John-Howard/
Australia, Kevin Rudd, 2007-12-03,2010-06-24, Prime Minister Kevin Rudd, http://www.worldpresidentsdb.com/Kevin-Rudd/
Australia, Julia Gillard, 2010-06-24,2013-06-27, Prime Minister Julia Gillard, http://www.worldpresidentsdb.com/Julia-Gillard/
Australia, Tony Abbott, 2013-09-18,2015-09-15, Prime Minister Tony Abbott, http://www.worldpresidentsdb.com/Tony-Abbott/
Australia, Malcolm Turnbull, 2015-09-15,Acting, Prime Minister Malcolm Turnbull, http://www.worldpresidentsdb.com/Tony-Abbott/
Iran, Akbar Hashemi Rafsanjani, 1989-08-03,1993-08-03, President Akbar Hashemi Rafsanjani, http://www.worldpresidentsdb.com/Akbar-Hashemi-Rafsanjani/
Iran, Akbar Hashemi Rafsanjani, 1993-08-03,1997-08-03, President Akbar Hashemi Rafsanjani, http://www.worldpresidentsdb.com/Akbar-Hashemi-Rafsanjani/
Iran, Mohammad Khatami, 1997-08-03,2001-08-03, President Mohammad Khatami, http://www.worldpresidentsdb.com/Mohammad-Khatami/
Iran, Mohammad Khatami, 2001-08-03,2005-08-03, President Mohammad Khatami, http://www.worldpresidentsdb.com/Mohammad-Khatami/
Iran, Mahmoud Ahmadinejad, 2005-08-03,2013-08-03, President Mahmoud Ahmadinejad, http://www.worldpresidentsdb.com/Mahmoud-Ahmadinejad/
Iran, Hassan Rouhani, 2013-08-04,Acting, President Hassan Rouhani, http://www.worldpresidentsdb.com/Hassan-Rouhani/
Cuba, Fidel Castro, 1959-02-16,2008-02-24, President Fidel Castro, http://www.worldpresidentsdb.com/Fidel-Castro/
Cuba, Raul Castro, 2008-02-24,Acting, Dictator Raul Castro, http://www.worldpresidentsdb.com/Raul-Castro/
Venezuela, Rafael Caldera, 1969-03-11,1974-03-11, President Rafael Caldera, http://www.worldpresidentsdb.com/Rafael-Caldera/
Venezuela, Rafael Caldera, 1994-02-02,1999-02-02, President Rafael Caldera, http://www.worldpresidentsdb.com/Rafael-Caldera/
Venezuela, Hugo Chavez, 1999-02-02,2001-01-10, President Hugo Chavez, http://www.worldpresidentsdb.com/Hugo-Chavez/
Venezuela, Hugo Chavez, 2001-01-10,2007-01-10, President Hugo Chavez, http://www.worldpresidentsdb.com/Hugo-Chavez/
Venezuela, Hugo Chavez, 2007-01-10,2013-01-10, President Hugo Chavez, http://www.worldpresidentsdb.com/Hugo-Chavez/
Venezuela, Hugo Chavez, 2013-01-10,2013-03-05, President Hugo Chavez, http://www.worldpresidentsdb.com/Hugo-Chavez/
Venezuela, Octavio Lepage, 1993-05-21,1993-06-05, President Octavio Lepage, http://www.worldpresidentsdb.com/Octavio-Lepage/
Venezuela, Nicolas Maduro, 2013-04-19,Acting, President Nicolas Maduro, http://www.worldpresidentsdb.com/Nicolas-Maduro/
Venezuela, Ramon Jose Velasquez, 1993-06-05,1994-02-02, President Ramon Jose Velasquez, http://www.worldpresidentsdb.com/Ramon-Jose-Velasquez/
Guatemala, Oscar Berger, 2004-01-14,2008-01-14, President Oscar Berger, http://www.worldpresidentsdb.com/Oscar-Berger/
Guatemala, Otto Perez Molina, 2012-01-14,Acting, President Otto Perez Molina, http://www.worldpresidentsdb.com/Otto-Perez-Molina/
Guatemala, Alfonso Portillo, 2000-01-14,2004-01-14, President Alfonso Portillo, http://www.worldpresidentsdb.com/Alfonso-Portillo/
China, Hu Jintao, 2002-11-15,2012-11-15, President Hu Jintao, http://www.worldpresidentsdb.com/Hu-Jintao/
China, Yang Shangkun, 1988-04-08,1993-03-27, President Yang Shangkun, http://www.worldpresidentsdb.com/Yang-Shangkun/
China, Xi Jinping, 2013-03-14,Acting, President Xi Jinping, http://www.worldpresidentsdb.com/Xi-Jinping/
China, Jiang Zemin, 1993-03-27,2003-03-15, President Jiang Zemin, http://www.worldpresidentsdb.com/Jiang-Zemin/
